t,x,y,z,s_along_slope,penetration_est
0.390000,-0.749282,0.080050,-0.000000,-0.049282,0.000050
0.391000,-0.749533,0.080050,-0.000000,-0.049533,0.000050
0.392000,-0.749786,0.080050,-0.000000,-0.049786,0.000050
0.393000,-0.750039,0.080051,-0.000000,-0.050039,0.000051
0.394000,-0.750292,0.080051,-0.000000,-0.050292,0.000051
0.395000,-0.750547,0.080051,-0.000000,-0.050547,0.000051
0.396000,-0.750802,0.080051,-0.000000,-0.050802,0.000051
0.397000,-0.751057,0.080051,-0.000000,-0.051057,0.000051
0.398000,-0.751314,0.080051,-0.000000,-0.051314,0.000051
0.399000,-0.751570,0.080051,-0.000000,-0.051570,0.000051
0.400000,-0.751828,0.080051,-0.000000,-0.051828,0.000051
0.401000,-0.752086,0.080052,-0.000000,-0.052086,0.000052
0.402000,-0.752345,0.080052,-0.000000,-0.052345,0.000052
0.403000,-0.752604,0.080052,-0.000000,-0.052604,0.000052
0.404000,-0.752864,0.080052,-0.000000,-0.052864,0.000052
0.405000,-0.753125,0.080052,-0.000000,-0.053125,0.000052
0.406000,-0.753387,0.080052,-0.000000,-0.053387,0.000052
0.407000,-0.753649,0.080052,-0.000000,-0.053649,0.000052
0.408000,-0.753911,0.080053,-0.000000,-0.053911,0.000053
0.409000,-0.754175,0.080053,-0.000000,-0.054175,0.000053
0.410000,-0.754439,0.080053,-0.000000,-0.054439,0.000053
0.411000,-0.754703,0.080053,-0.000000,-0.054703,0.000053
0.412000,-0.754968,0.080053,-0.000000,-0.054968,0.000053
0.413000,-0.755234,0.080053,-0.000000,-0.055234,0.000053
0.414000,-0.755501,0.080053,-0.000000,-0.055501,0.000053
0.415000,-0.755768,0.080053,-0.000000,-0.055768,0.000053
0.416000,-0.756036,0.080054,-0.000000,-0.056036,0.000054
0.417000,-0.756304,0.080054,-0.000000,-0.056304,0.000054
0.418000,-0.756573,0.080054,-0.000000,-0.056573,0.000054
0.419000,-0.756843,0.080054,-0.000000,-0.056843,0.000054
0.420000,-0.757114,0.080054,-0.000000,-0.057114,0.000054
